gross,genres,month,year,imdb_score
34964818,Adventure,9,2015,5.8
34964818,Adventure,9,2015,5.8
34964818,Family,9,2015,5.8
34964818,Family,9,2015,5.8
34964818,Family,9,2015,5.8
34964818,Fantasy,9,2015,5.8
34964818,Fantasy,9,2015,5.8
34964818,Fantasy,9,2015,5.8
111505642,Adventure,2,2014,6.9
111505642,Animation,2,2014,6.9
111505642,Comedy,2,2014,6.9
111505642,Family,2,2014,6.9
111505642,Sci-Fi,2,2014,6.9
133228348,Adventure,5,2004,7.2
216366733,Adventure,5,2012,6.9
216366733,Animation,5,2012,6.9
216366733,Comedy,5,2012,6.9
216366733,Family,5,2012,6.9
160201106,Action,11,2002,6.1
160201106,Adventure,11,2002,6.1
160201106,Thriller,11,2002,6.1
118099659,Action,7,2016,5.5
118099659,Action,7,2016,5.5
118099659,Comedy,7,2016,5.5
118099659,Comedy,7,2016,5.5
118099659,Fantasy,7,2016,5.5
118099659,Fantasy,7,2016,5.5
118099659,Sci-Fi,7,2016,5.5
118099659,Sci-Fi,7,2016,5.5
201573391,Action,6,1998,6.6
201573391,Adventure,6,1998,6.6
201573391,Sci-Fi,6,1998,6.6
201573391,Thriller,6,1998,6.6
190418803,Action,7,2002,6.1
190418803,Adventure,7,2002,6.1
190418803,Comedy,7,2002,6.1
190418803,Family,7,2002,6.1
190418803,Fantasy,7,2002,6.1
190418803,Mystery,7,2002,6.1
190418803,Sci-Fi,7,2002,6.1
82161969,Action,11,2007,6.3
82161969,Adventure,11,2007,6.3
82161969,Animation,11,2007,6.3
82161969,Fantasy,11,2007,6.3
143523463,Action,1,2016,7.2
143523463,Adventure,1,2016,7.2
143523463,Animation,1,2016,7.2
143523463,Comedy,1,2016,7.2
143523463,Family,1,2016,7.2
209364921,Action,12,2011,7.4
209364921,Adventure,12,2011,7.4
209364921,Thriller,12,2011,7.4
103400692,Adventure,10,2012,7.3
103400692,Animation,10,2012,7.3
103400692,Family,10,2012,7.3
103400692,Fantasy,10,2012,7.3
110332737,Comedy,12,2005,6.1
110332737,Crime,12,2005,6.1
111110575,Action,11,2003,7.7
111110575,Drama,11,2003,7.7
111110575,History,11,2003,7.7
111110575,War,11,2003,7.7
65007045,Action,12,2014,6.1
65007045,Action,12,2014,6.1
65007045,Adventure,12,2014,6.1
65007045,Adventure,12,2014,6.1
65007045,Drama,12,2014,6.1
65007045,Drama,12,2014,6.1
257704099,Action,4,2009,8
257704099,Adventure,4,2009,8
257704099,Sci-Fi,4,2009,8
403706375,Action,4,2002,7.3
403706375,Adventure,4,2002,7.3
403706375,Fantasy,4,2002,7.3
403706375,Romance,4,2002,7.3
176997107,Action,5,2014,7.9
176997107,Adventure,5,2014,7.9
176997107,Animation,5,2014,7.9
176997107,Comedy,5,2014,7.9
176997107,Family,5,2014,7.9
176997107,Fantasy,5,2014,7.9
31141074,Action,2,2016,5.5
31141074,Adventure,2,2016,5.5
31141074,Fantasy,2,2016,5.5
31704416,Action,7,2005,5
31704416,Adventure,7,2005,5
31704416,Sci-Fi,7,2005,5
31704416,Thriller,7,2005,5
107503316,Action,2,2009,7.7
107503316,Drama,2,2009,7.7
107503316,Mystery,2,2009,7.7
107503316,Sci-Fi,2,2009,7.7
129734803,Action,7,1998,6.6
129734803,Crime,7,1998,6.6
129734803,Thriller,7,1998,6.6
132122995,Action,6,2003,5.7
132122995,Sci-Fi,6,2003,5.7
122512052,Action,3,2013,5.8
122512052,Adventure,3,2013,5.8
122512052,Sci-Fi,3,2013,5.8
122512052,Thriller,3,2013,5.8
68642452,Action,4,2005,6
68642452,Adventure,4,2005,6
68642452,Comedy,4,2005,6
68642452,Thriller,4,2005,6
32131830,Action,7,2001,6.4
32131830,Adventure,7,2001,6.4
32131830,Animation,7,2001,6.4
32131830,Fantasy,7,2001,6.4
32131830,Romance,7,2001,6.4
32131830,Sci-Fi,7,2001,6.4
176636816,Action,7,2011,6.9
176636816,Adventure,7,2011,6.9
176636816,Sci-Fi,7,2011,6.9
126930660,Action,11,1999,6.4
126930660,Adventure,11,1999,6.4
126930660,Thriller,11,1999,6.4
93926386,Action,11,2003,7.4
